1,0.5384615384615384,0,1,0,0,0,2,2,12,28,1,2,2,1,1,1;0
1,0.5384615384615384,0,1,2,0,0,39.15010926557059,2,12,22,1,3,3,2,2,2;0
1,0.5384615384615384,0,1,0,0,0,2,2,12,30,1,2,2,1,2,2;0
1,0.5384615384615384,0,1,0,0,0,2,2,15,27,7,4,4,2,2,1;0
1,0.5384615384615384,0,0,16,3,1,-16.51271728356227,2,19,9,7,4,4,2,3,2;3
1,0.5384615384615384,1,0,24,8,1,-28.61135701766122,2,20,13,0,3,3,2,2,2;3
1,0.5384615384615384,0,1,0,0,0,2,2,37,6,1,5,4,2,3,3;0
1,0.5384615384615384,0,1,0,0,0,0,2,52,0,1,5,4,2,4,4;2
1,0.5384615384615384,1,0,18,8,1,-36.87438564978519,2,35,0,0,6,5,3,4,4;4
1,0.5384615384615384,0,1,0,0,0,0,2,13,0,1,5,5,3,4,3;0
1,0.5384615384615384,0,1,8,0,0,-16.0,2,40,0,3,4,4,3,4,5;2
1,0.5384615384615384,1,0,1,12,1,-2.0,2,10,0,0,6,6,4,5,4;0
1,0.5384615384615384,0,0,12,10,1,-25.154700538379252,2,22,0,2,5,5,4,5,5;0
2,0.5769230769230769,0,1,1,0,0,3.0,2,8,4,2,3,3,2,2,2;0
2,0.5769230769230769,0,1,0,0,0,2,-18.77777777777778,0,33,3,1,1,1,0,0;0
2,0.5769230769230769,0,1,0,0,0,2,2,6,31,2,2,2,1,1,1;0
2,0.5769230769230769,0,0,16,4,0,-15.709432264724995,2,43,14,1,3,3,2,2,2;4
2,0.5769230769230769,0,0,16,2,1,15.240467460718943,2,36,23,2,2,2,1,1,1;0
2,0.5769230769230769,1,0,8,8,1,-11.200000000000001,2,44,8,0,4,4,2,3,3;4
2,0.5769230769230769,0,1,0,0,0,2,32.875406260828754,19,24,3,2,2,1,4,0;0
2,0.5769230769230769,0,1,12,0,0,0.0,2,43,12,1,2,2,2,5,2;2
2,0.5769230769230769,0,1,0,0,0,2,2,27,10,2,3,2,2,2,2;0
2,0.5769230769230769,1,0,12,10,1,-19.42857142857143,2,48,4,0,3,3,2,4,3;4
2,0.5769230769230769,0,0,5,3,1,-5.949050209369709,2,39,4,1,3,3,3,3,3;2
2,0.5769230769230769,0,0,4,2,1,41.67506302543202,2,32,30,2,2,2,1,4,1;0
2,0.5769230769230769,0,1,3,0,0,2.607162899340807,2,37,6,1,5,4,3,3,3;2
2,0.5769230769230769,0,1,0,0,0,0,2,43,0,2,4,3,3,3,2;0
2,0.5769230769230769,0,1,0,0,0,0,2,55,0,1,5,4,2,4,3;0
2,0.5769230769230769,1,0,15,8,1,-30.629940788348712,2,24,0,0,6,5,3,4,4;1
2,0.5769230769230769,0,0,2,2,1,-4.0,2,30,0,3,4,4,2,4,3;1
2,0.5769230769230769,0,1,0,0,0,0,2,4,0,1,5,5,3,5,5;0
2,0.5769230769230769,0,1,11,0,0,-22.957427107756338,2,52,0,3,4,4,3,4,3;3
2,0.5769230769230769,1,0,0,12,1,0,2,7,0,0,6,6,4,6,6;0
2,0.5769230769230769,0,0,13,10,1,-26.58969197511447,2,25,0,2,5,5,4,5,4;0
3,0.6153846153846154,0,1,1,0,0,32.875406260828754,2,8,19,2,3,3,2,2,2;0
3,0.6153846153846154,0,1,0,0,0,2,-12.816496580927726,6,41,3,1,1,1,0,0;0
3,0.6153846153846154,0,1,0,0,0,2,2,6,31,2,2,2,1,2,2;0
3,0.6153846153846154,0,0,8,4,0,-11.200000000000001,2,35,8,1,3,3,2,2,2;4
3,0.6153846153846154,0,0,10,2,1,37.31158697509619,2,31,30,2,2,2,1,1,1;0
3,0.6153846153846154,1,0,8,8,1,-11.200000000000001,2,35,8,0,4,4,2,3,3;4
3,0.6153846153846154,0,1,0,0,0,2,40.813250060790445,23,22,3,2,2,1,3,0;0
3,0.6153846153846154,0,1,12,0,0,-5.510303514415156,2,49,20,1,2,2,2,4,2;0
3,0.6153846153846154,0,1,0,0,0,2,2,31,8,2,3,2,2,2,2;0
3,0.6153846153846154,1,0,11,10,1,-18.303977689400185,2,51,8,0,3,3,2,4,3;6
3,0.6153846153846154,0,0,6,3,1,-7.777777777777779,2,44,8,1,3,3,3,3,3;2
